Date,Open,High,Low,Close,Volume,Open.Interest
30-01-2018 11:27:00,11082.4,11089.1,11082.4,11086,60300,26201850
30-01-2018 11:28:00,11086,11088.95,11085.9,11087,28350,26201850
30-01-2018 11:29:00,11087,11087.8,11083.1,11084,17925,26221650
30-01-2018 11:30:00,11084.4,11087,11084.1,11085.2,8475,26221650
30-01-2018 11:31:00,11087.4,11087.95,11085,11087,9900,26221650
30-01-2018 11:32:00,11087,11088,11084.5,11088,13950,26231850
30-01-2018 11:33:00,11088,11088,11085.1,11087,17550,26231850
30-01-2018 11:34:00,11087,11088,11084.55,11086,7500,26231850
30-01-2018 11:35:00,11085.05,11086,11084.5,11085.6,4425,26244750
30-01-2018 11:36:00,11085.6,11085.85,11083,11083,7275,26244750
30-01-2018 11:37:00,11083,11084,11082.2,11082.55,3525,26244750
30-01-2018 11:38:00,11084,11084,11082,11082.4,6675,26250825
30-01-2018 11:39:00,11082.4,11082.4,11079.05,11079.05,9525,26250825
30-01-2018 11:40:00,11079.05,11081,11078.6,11080.9,7725,26250825
30-01-2018 11:41:00,11080.9,11081,11078,11078.6,5700,26254350
30-01-2018 11:42:00,11078.6,11080.4,11078.05,11079.1,4500,26254350
30-01-2018 11:43:00,11080.85,11081,11078.85,11079.45,5775,26254350
30-01-2018 11:44:00,11079.45,11080.9,11079,11079.5,1275,26257050
30-01-2018 11:45:00,11079,11079.3,11075.7,11076.2,12750,26257050
30-01-2018 11:46:00,11077,11077.65,11075.45,11077,5850,26257050
30-01-2018 11:47:00,11077.4,11078,11076,11078,3975,26254050
30-01-2018 11:48:00,11078,11079.5,11077,11079.2,2025,26254050
30-01-2018 11:49:00,11079.2,11082,11078,11082,6750,26254050
30-01-2018 11:50:00,11082.05,11084,11081.25,11082.25,2700,26256000
30-01-2018 11:51:00,11081.35,11081.4,11078.5,11081.4,3375,26256000
30-01-2018 11:52:00,11080.55,11081.9,11079.15,11081.9,3450,26256000
30-01-2018 11:53:00,11081.9,11083.25,11081.15,11081.15,7950,26255475
30-01-2018 11:54:00,11081.15,11083.9,11081.15,11082.1,6825,26255475
30-01-2018 11:55:00,11080.9,11083.8,11080.1,11083.75,5625,26255475
30-01-2018 11:56:00,11082.7,11084,11081.45,11081.85,6075,26253150
30-01-2018 11:57:00,11082,11083.75,11080.6,11082.95,3600,26253150
30-01-2018 11:58:00,11082.95,11082.95,11082,11082.55,3525,26253150
30-01-2018 11:59:00,11082.55,11082.55,11080.15,11081.75,3525,26252325
30-01-2018 12:00:00,11081.75,11082.95,11080.2,11082.95,7125,26252325
30-01-2018 12:01:00,11082.8,11082.85,11079.85,11080.4,9225,26252325
