1936,2give,2give,40:27.7,2GIVE
1937,eboostcoin,Eboostcoin,40:27.7,EBST
1938,exclusivecoin,Exclusivecoin,40:27.7,EXCL
1939,trueflip,Trueflip,40:27.7,TFL
1940,vivo,Vivo,40:27.7,VIVO
1941,hubii-network,Hubii Network,40:27.7,HBT
1942,vtorrent,Vtorrent,40:27.7,VTR
1943,e-dinar-coin,E Dinar Coin,40:27.7,EDR
1944,pure,Pure,40:27.7,PURE
1945,adelphoi,Adelphoi,40:27.7,ADL
1946,encryptotel,Encryptotel,40:27.7,ETT
1947,altcoin-alt,Altcoin Alt,40:27.7,ALT
1948,tokes,Tokes,40:27.7,TKS
1949,prizm,Prizm,40:27.7,PZM
1950,trustplus,Trustplus,40:27.7,TRUST
1951,purevidz,Purevidz,40:27.7,VIDZ
1952,procurrency,Procurrency,40:27.7,PROC
1953,hollywoodcoin,Hollywoodcoin,40:27.7,HWC
1954,embers,Embers,40:27.7,MBRS
1955,ixcoin,Ixcoin,40:27.7,IXC
1956,ellaism,Ellaism,40:27.7,ELLA
1957,zephyr,Zephyr,40:27.7,ZEPH
1958,farad,Farad,40:27.7,FRD
1959,europecoin,Europecoin,40:27.7,ERC
1960,real,Real,40:27.7,REAL
1961,wandx,Wandx,40:27.7,WAND
1962,ebtcnew,Ebtcnew,40:27.7,EBTC
1963,eroscoin,Eroscoin,40:27.7,ERO
1964,luckchain,Luckchain,40:27.7,BASH
1965,dynamic,Dynamic,40:27.7,DYN
1966,sexcoin,Sexcoin,40:27.7,SXC
1967,commodity-ad-network,Commodity Ad Network,40:27.7,CDX
1968,equitrader,Equitrader,40:27.7,EQT
1969,quark,Quark,40:27.7,QRK
1970,bitboost,Bitboost,40:27.7,BBT
1971,magi,Magi,40:27.7,XMG
1972,footy-cash,Footy Cash,40:27.7,XFT
1973,force,Force,40:27.7,FOR
1974,dai,Dai,40:27.7,DAI
1975,student-coin,Student Coin,40:27.7,STU
1976,noblecoin,Noblecoin,40:27.7,NOBL
1977,regalcoin,Regalcoin,40:27.7,REC
1978,terracoin,Terracoin,40:27.7,TRC
1979,evergreencoin,Evergreencoin,40:27.7,EGC
1980,eltcoin,Eltcoin,40:27.7,ELTCOIN
1981,zrcoin,Zrcoin,40:27.7,ZRC
1982,linx,Linx,40:27.7,LINX
1983,huntercoin,Huntercoin,40:27.7,HUC
1984,anoncoin,Anoncoin,40:27.7,ANC
1985,parkbyte,Parkbyte,40:27.7,PKB
1986,karbowanec,Karbowanec,40:27.7,KRB
1987,putincoin,Putincoin,40:27.7,PUT
1988,worldcoin,Worldcoin,40:27.7,WDC
1989,megacoin,Megacoin,40:27.7,MEC
1990,apx,Apx,40:27.7,APX
1991,cartaxi-token,Cartaxi Token,40:27.7,CTX
1992,smartbillions,Smartbillions,40:27.7,SMART
1993,ethereumcash,Ethereumcash,40:27.7,ECASH
1994,qvolta,Qvolta,40:27.7,QVT
1995,flik,Flik,40:27.7,FLIK
1996,goodomy,Goodomy,40:27.7,GOOD
1997,cryptoping,Cryptoping,40:27.7,PING
1998,halcyon,Halcyon,40:27.7,HAL
1999,neverdie,Neverdie,40:27.7,NDC
2000,bluecoin,Bluecoin,40:27.7,BLU
2001,gimli,Gimli,40:27.7,GIM
2002,ergo,Ergo,40:27.7,EFYT
2003,mcap,Mcap,40:27.7,MCAP
2004,bitcoin-scrypt,Bitcoin Scrypt,40:27.7,BTCS
2005,cryptogenic-bullion,Cryptogenic Bullion,40:27.7,CBX
2006,straks,Straks,40:27.7,STAK
2007,arcticcoin,Arcticcoin,40:27.7,ARC
2008,chips,Chips,40:27.7,CHIPS
2009,e-gulden,E Gulden,40:27.7,EFL
2010,dinastycoin,Dinastycoin,40:27.7,DCY
2011,popularcoin,Popularcoin,40:27.7,POP
2012,interstellar-holdings,Interstellar Holdings,40:27.7,HOLD
2013,condensate,Condensate,40:27.7,RAIN
2014,martexcoin,Martexcoin,40:27.7,MXT
2015,primalbase,Primalbase,40:27.7,PBT
